customer_text,brand_reply,intent
Updated my phone now this shit bugging out thanks @115858,@667460 We are here to help. DM us the details of your issue and we can take a look at this for you. https://t.co/GDrqU22YpT,device_troubleshooting
"@115858 @AppleSupport  Flightmode on but wifi does not turnoff. Ios 11.2 Beta 6, iPhone 7plus. #iosbeta #ios11.2 #beta6 https://t.co/xU5Yi1DA3S",@247116 We can certainly take a look. Join us in DM to get started: https://t.co/GDrqU22YpT,device_troubleshooting
"why @115858 @AppleSupport are still having this volume thing till now! very weird and annoying. 

#UI #UX 🤔 https://t.co/EE5dz4XuPb",@149287 Thanks for reaching out. We can definitely look into this with you. Can you tell us what's happening specifically? Which device are you using? DM us and let us know. https://t.co/GDrqU22YpT,other_general
@AppleSupport I want to see recently used apps without double click home button. Is there any other way to see?See app with 3D touch function is deleted? https://t.co/NuwULPnw2f,"@753314 These are the current methods available. However, we're always open to feedback via: https://t.co/eTPVYVFyd8",other_general
Just bought a new Macbook charger this morning and it's already not working anymore. I'm very dissapointed @applesupport,"@420004 Let's get this resolved. Have you tried resetting the SMC on your Mac? If not, give that a try: https://t.co/FYojVXHuwn",device_troubleshooting
@AppleSupport But this card is not issued by a Danish bank. But an American one.,"@389148 The link also lists cards for the Unites States, but if you are still getting an error, you'll need to reach out to Bank of America.",other_general
@363799 @115858 If I get anymore problems.,@360028 Sounds like a plan. Please keep us updated.,other_general
@AppleSupport It’s jumping from screen to screen. App to app,@275087 has your iPhone suffered any damage or fallen recently? Let us know via DM. https://t.co/GDrqU22YpT,device_troubleshooting
I️ need my letter “eye” fixed!! 😡😤 @115858 @AppleSupport,@743537 What's going on with it? Send us a DM to take a closer look. https://t.co/GDrqU22YpT,device_troubleshooting
My @115858 Watch series 2 was charging overnight.  Put it on around 6am. Now at 13%.  Waaaaaay faster than usual. Something weird going on.   @AppleSupport,@137166  We'd love to make sure all is well with your device. We understand how important it is to keep power on your Apple Watch. Do you recall any actions or changes aside from charging it prior to this observation?,other_general
Legit my phone doesn’t stay on for more than ten seconds regardless of what perecentage it is on @AppleSupport what’s going on,@692954 We can help with battery life. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,other_general
@AppleSupport device switches off and on by its self when it's on the Bluetooth automatically switches on by itself . What's causing this?,@753021 We can assist you. Please DM us your device model and we will help you further from there. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport why are their weird symbols showing up in my text,@600706 Thanks for reaching out! We’d like to take a closer look at this with you. Please let us know your iOS version in DM to proceed. https://t.co/GDrqU22YpT,other_general
#ios11 glitch! No clock on lockscreen 👇 @115858 @AppleSupport need updates soon to get rid of the glitches 😓 https://t.co/ipaw24Y1f2,@216739 We're here to help. Have you performed any troubleshooting steps such as restarting your device?,device_troubleshooting
@115858 @AppleSupport what’s up with the I️?,@629324 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_troubleshooting
"@AppleSupport I have IOS 11.1. When I go on my setting to verify the app, no error, it just happened nothing. When I go on https://t.co/MCxO0uSexx, like the support page said (see link in my previous message), I have this error https://t.co/ou6Pxig35u","@525877 Thanks for the screenshot. Are you currently on a network with a firewall? Let us know in a DM, we'll continue to assist. https://t.co/GDrqU22YpT",other_general
"@AppleSupport Yes , all my apps are updated.  The apps I use that my phone freezes the most are Youtube, Messaging , and Snapchat. I’ve also noticed that if I’m on FaceTime at a low battery percent it also freezes.","@157653 Got it! Follow up with us in DM. Tell us what you have to do, to restore functionality back to the iPhone there. https://t.co/GDrqU22YpT",device_troubleshooting
