tweet_id,text,pretag,intent,gold_reply_summary,should_escalate,escalation_reason
1766076,"@AppleSupport after I updated my os yo 11.03 last night my music doesn’t play through car audio system! It charges alright, phone works too!",other,,,,
2281719,"@AppleSupport the iOS 11.1.1 just ruined my 6s’ performance and battery life, which was a lot more stable when it was running on iOS 11.1, since the first iOS 11 update🤦🏻‍♂️ #ios1111 #fixitalready",other,,,,
2138201,"@AppleSupport hey apple, what month is this on my Calendar?? Sort it out, as well as the battery, slow response and everything else iOS11 fucked up... https://t.co/4DXro1PseF",question,,,,
1395699,"@115858 @AppleSupport 
Hey I made a purchase I didn’t mean to make can you help me?",question,,,,
2728273,"Allo @AppleSupport #France, Comment fait on pour prendre RDV au #GeniusBar quand son iPhone ne s'allume plus et qu'on ne peut pas recevoir du SMS pour identification ? #fail",question,,,,
2277957,Can the iPhone X charge wirelessly if it has a case around it @AppleSupport?,question,,,,
1938115,@AppleSupport just had customer service rep hang up on my son #CUSTOMERSERVICEFAIL,other,,,,
2404890,@AppleSupport I'm finding it really hard to set up a temporary device whilst my phone is being repaired. Having issues with 2 step verification. I've managed to import my contacts but now I'm having issues verifying in the app store.,angry,,,,
2379330,@AppleSupport SMD For This “I️”,short,,,,
2441860,@AppleSupport hey. Umm. My iPhone X doesn’t work outside in the cold.,other,,,,
914480,"@applesupport @115858 con su nueva actualización mi celular no cambia la hora cuando esta bloqueado, su soporte por chat malisismo!",other,,,,
450403,"Hey @AppleSupport, I can't get the ""Add Image to Photos"" option in the right click menu to work in Safari on 10.13.1 anymore... This just started a couple days ago. Suspect a bug in Safari, but not sure. What do you suggest?",question,,,,
2253531,"@AppleSupport I updated the iOS 11.1 and it did not fix the autocorrect. I’m still seeing “A?”, what’s the issue? I have the IPhone 7.",angry,,,,
2448385,@115858 it would have been great if my iPhone videos recorded sound at the @236757 concert. Went back to watch the videos and it’s only playing white noise @AppleSupport #JoanneWorldTourConnecticut,other,,,,
2619876,"@AppleSupport after 11.1.1 Siri fails to send messages with ‘uh oh, something’s wrong..’ Known bug? Tried restarting etc, persists.",question,,,,
2729129,Hey @115858 @AppleSupport updated my phone last night n its been stuck on the loading bar screen for 15 hours any tips before I go scream down the apple store xxx love,other,,,,
1636193,"@AppleSupport 
Whhhyyyy??????? https://t.co/7SLZ7ZUtTR",short,,,,
1852139,Update: @115858 staff and @AppleSupport say the the crappy iOS update is what it is and they can’t fix my phone and won’t replace it,other,,,,
2488775,The new iPhone update is garbage my phone is super slow and all the apps crash.... kinda bs this happened right after the new iPhone came out... time to switch brands I think. @118936 @115858 @AppleSupport,other,,,,
1052468,Quand @AppleSupport bug en bêta sous ios11 😂 #calcul #mathsup #oklm #apple #iphone https://t.co/HfYa26oBv8,other,,,,
1872079,"@AppleSupport ordered full price iPhone, express overnight. Fedex lost. your people tell me 4 days to resolve. need it tomorrow!!! android?",angry,,,,
2230659,"@AppleSupport 
In song view, I accidentally unchecked most songs. Then in album view or playlist view, I could play one song only.",other,,,,
2083315,@AppleSupport My iphone 6s’ battery dies sooner than before &amp; it hangs &amp;apps crash after I updated to ios11. Updated to ios 11.2. No relief😔,other,,,,
1942463,@AppleSupport upgrade is horrible! Phone is now inoperable unless connected to WiFi. Battery life is about 4 hours.,other,,,,
1467824,@AppleSupport why is my iPhone 8 Siri having so much trouble listening to me? Tried setting it up like 6 times just now and doesn’t respond.,question,,,,
2773212,"@AppleSupport Hi, I've had my MBP (with TB) crash on me three times now since updating to High Sierra. Twice after disconnecting from an external display, once after putting it to sleep for 8 hours. MCA error recognized twice. What to do?",question,,,,
1757934,Yo seriously wth is with these stupid boxes with the question marks in them!? @AppleSupport,question,,,,
522996,"@AppleSupport Hello there! My phone always crashed in any apps after few seconds and I can’t use it! Crashed means the screen becomes black and there’s only spinner loading at the center, then the phone goes to “enter touch id or pin”. What happened?!!",angry,,,,
549628,Hello @AppleSupport . My iPhone 7 keeps restarting every minute. Can you help on this please? My current software version is 11.1.2. The screenshot below https://t.co/fEw1UVbrzL,question,,,,
752413,Anyone else having the wrong album artwork showing on #ios11? The artwork is fine in iTunes @AppleSupport #iphone8,question,,,,
1497344,Why can’t @AppleSupport answer my question? Transferred left and right but get the same spiel.,question,,,,
2497927,the lock screen and notification center show noththing. @AppleSupport fix this shit. #dontdownloadios11,other,,,,
1881977,@AppleSupport Highlights made in purchased book in iBooks on #iPadPro w/ #iOS11 are not syncing to 5k  27” #iMac w/ #HighSierra. Any tips?,question,,,,
435836,@AppleSupport is there any chance I can share all pictures of a person with my wife?  I’d like all pics of my son to go to her account.,question,,,,
1758802,@AppleSupport Please provide feature to DISABLE Memories/People. I DO NOT want you scanning my photos! Give us the option!,other,,,,
834503,my phone always freezing @AppleSupport get y’all shit togeva,other,,,,
1101970,@115858 @AppleSupport Start explaining this math https://t.co/Ng4MYjDRMm,other,,,,
1099273,"@AppleSupport hey guys the mix new music disappeared why? iOS 11.0.3 and Mac with High Sierra, last version of iTunes. @115948",question,,,,
1612701,".@AppleSupport I need help, I disconnected my ID from my iPhone and I am no longer able to connect again because the ""Two Factor Authentication"" option was enabled and saved on my old cell number",other,,,,
307228,@AppleSupport why does my WiFi keep turning itself on? I’ve turned it off at least 4 times today,question,,,,
332827,"@AppleSupport #ios11 disconects all the time from bluetooth devices, is the phone not the devices, please solve it",other,,,,
1785468,"@115858 
To send SMS through Contacts in IOS 11.0 and newer updates not possible. Messages has to open first, looks a bug! 

@AppleSupport",other,,,,
2356489,Hoping @917 and @AppleSupport can figure out this new freezing-for-everything situation since the iOS 11 update 😒,other,,,,
740590,Seriously @AppleSupport what the hell is wrong with #iOS11 &amp; my #iphone6s ?? My battery just gets worst &amp; worst everyday!! #Notcool,angry,,,,
