tweet_id,text,pretag,intent,gold_reply_summary,should_escalate,escalation_reason,verified
1766076,"@AppleSupport after I updated my os yo 11.03 last night my music doesn’t play through car audio system! It charges alright, phone works too!",other,device_troubleshooting,"Must direct to reportaproblem.apple.com or request account details to investigate the charge, without promising a refund outright",False,,True
2281719,"@AppleSupport the iOS 11.1.1 just ruined my 6s’ performance and battery life, which was a lot more stable when it was running on iOS 11.1, since the first iOS 11 update🤦🏻‍♂️ #ios1111 #fixitalready",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2138201,"@AppleSupport hey apple, what month is this on my Calendar?? Sort it out, as well as the battery, slow response and everything else iOS11 fucked up... https://t.co/4DXro1PseF",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1395699,"@115858 @AppleSupport 
Hey I made a purchase I didn’t mean to make can you help me?",question,billing_subscription,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
2728273,"Allo @AppleSupport #France, Comment fait on pour prendre RDV au #GeniusBar quand son iPhone ne s'allume plus et qu'on ne peut pas recevoir du SMS pour identification ? #fail",question,repair_order_status,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
2277957,Can the iPhone X charge wirelessly if it has a case around it @AppleSupport?,question,feature_howto,"Must direct to reportaproblem.apple.com or request account details to investigate the charge, without promising a refund outright",False,,True
1938115,@AppleSupport just had customer service rep hang up on my son #CUSTOMERSERVICEFAIL,other,complaint_escalation,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),True,service rep hung up on customer's son -- service failure needs human follow-up,True
2404890,@AppleSupport I'm finding it really hard to set up a temporary device whilst my phone is being repaired. Having issues with 2 step verification. I've managed to import my contacts but now I'm having issues verifying in the app store.,angry,account_access,"Must direct to the correct Apple ID/iCloud recovery or 2FA path, not a generic password reset",True,sue,True
2379330,@AppleSupport SMD For This “I️”,short,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2441860,@AppleSupport hey. Umm. My iPhone X doesn’t work outside in the cold.,other,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
914480,"@applesupport @115858 con su nueva actualización mi celular no cambia la hora cuando esta bloqueado, su soporte por chat malisismo!",other,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
450403,"Hey @AppleSupport, I can't get the ""Add Image to Photos"" option in the right click menu to work in Safari on 10.13.1 anymore... This just started a couple days ago. Suspect a bug in Safari, but not sure. What do you suggest?",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2253531,"@AppleSupport I updated the iOS 11.1 and it did not fix the autocorrect. I’m still seeing “A?”, what’s the issue? I have the IPhone 7.",angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2448385,@115858 it would have been great if my iPhone videos recorded sound at the @236757 concert. Went back to watch the videos and it’s only playing white noise @AppleSupport #JoanneWorldTourConnecticut,other,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
